"gender","Age","Attitude","Deep","Stra","Surf","Points"
"F",53,37,43,27,31,25
"M",55,31,35,22,38,12
"F",49,25,42,29,27,24
"M",53,35,42,25,27,10
"M",49,37,44,29,34,22
"F",38,38,57,29,29,21
"M",50,35,46,18,23,21
"F",37,29,39,32,34,31
"M",37,38,52,34,26,24
"F",42,21,48,28,36,26
"M",37,39,43,29,32,31
"F",34,38,46,38,29,31
"F",34,24,51,29,27,23
"F",34,30,40,28,33,25
"M",35,26,50,14,28,21
"F",33,41,44,31,28,31
"F",32,26,49,11,35,20
"F",44,26,42,26,30,22
"M",29,17,49,24,45,9
"F",30,27,48,30,33,24
"M",27,39,47,21,28,28
"M",29,34,48,19,29,30
"F",31,27,48,29,36,24
"F",37,23,44,22,29,9
"F",26,37,44,14,34,26
"F",26,44,53,26,38,32
"M",30,41,47,32,36,32
"F",33,37,45,29,24,33
"F",33,25,39,23,42,29
"M",28,30,43,24,45,30
"M",26,34,59,13,30,19
"F",27,32,43,26,25,23
"F",25,20,35,28,29,19
"F",31,24,44,24,31,12
"M",20,42,54,26,19,10
"F",39,16,49,15,34,11
"M",38,31,46,35,22,20
"M",24,38,39,29,29,26
"M",26,38,28,20,39,31
"M",25,33,40,10,41,20
"F",30,17,49,32,41,23
"F",25,25,35,24,38,12
"M",30,32,40,20,42,24
"F",48,35,46,39,32,17
"F",24,32,44,40,29,29
"F",40,42,56,35,43,23
"M",25,31,45,26,25,28
"F",23,39,41,32,45,31
"F",25,19,50,25,35,23
"F",23,21,35,20,35,25
"M",27,25,50,25,29,18
"M",25,32,43,26,36,19
"M",23,32,34,17,41,22
"F",23,26,48,22,35,25
"F",23,23,35,19,39,21
"F",45,38,36,25,39,9
"F",22,28,49,32,28,28
"F",23,33,35,32,39,25
"M",21,48,42,18,30,29
"M",21,40,52,26,21,33
"F",21,40,51,29,27,33
"F",21,47,41,29,25,25
"F",26,23,37,20,34,18
"F",25,31,55,15,34,22
"F",26,27,41,16,29,17
"M",21,41,41,15,27,25
"F",23,34,41,32,34,28
"F",22,25,43,23,27,22
"F",22,21,19,31,22,26
"F",22,14,40,20,35,11
"F",23,19,52,22,35,29
"M",22,37,53,36,25,22
"M",23,32,58,27,28,21
"M",24,28,37,21,29,28
"F",22,41,36,33,33,33
"F",23,25,49,21,39,16
"M",22,28,49,18,21,31
"M",20,38,45,22,31,22
"M",22,31,37,24,40,31
"M",21,35,57,13,34,23
"F",22,36,51,15,30,26
"F",23,26,50,27,29,12
"M",21,44,53,30,29,26
"M",22,45,46,17,31,31
"M",29,32,40,19,36,19
"F",29,39,38,22,24,30
"F",21,25,38,25,41,12
"M",28,33,46,28,34,17
"F",21,33,51,21,27,18
"F",30,30,46,27,33,19
"F",21,29,44,18,47,21
"M",23,33,46,24,28,24
"F",21,33,46,32,33,28
"F",21,35,46,28,33,17
"F",20,36,44,21,35,18
"M",22,37,52,20,25,17
"M",21,42,45,30,44,23
"M",21,32,50,29,34,26
"F",20,50,48,33,41,28
"M",22,47,48,35,19,31
"F",20,36,55,21,35,27
"F",20,36,44,32,36,25
"M",24,29,44,22,35,23
"F",20,35,46,22,32,21
"F",19,40,31,11,36,27
"F",21,35,42,18,33,28
"F",21,32,37,29,37,23
"F",22,26,51,30,30,21
"F",25,20,38,32,28,25
"F",21,27,37,25,36,11
"F",22,32,50,26,36,19
"F",25,33,27,17,48,24
"F",20,39,40,23,39,28
"M",24,33,37,12,42,21
"F",20,30,33,20,42,24
"M",21,37,39,26,46,24
"F",20,25,48,29,35,20
"F",20,29,43,31,26,19
"M",31,39,49,31,20,30
"F",20,36,51,19,25,22
"F",22,29,41,24,34,16
"F",22,21,37,27,41,16
"M",21,31,42,22,40,19
"M",22,40,44,36,31,30
"F",21,31,51,21,34,23
"F",21,23,51,22,40,19
"F",21,28,46,26,36,18
"F",21,37,53,33,31,28
"F",20,26,42,27,29,21
"F",21,24,43,22,43,19
"F",25,30,44,33,25,27
"M",21,28,25,26,52,24
"F",24,29,51,23,32,21
"F",20,24,43,23,36,20
"M",21,31,48,19,32,28
"F",20,19,40,31,26,12
"F",20,20,42,17,32,21
"F",18,38,38,32,27,28
"F",21,34,43,26,32,31
"F",19,37,41,21,40,18
"F",21,29,51,22,42,25
"F",20,23,39,32,33,19
"M",21,41,53,24,24,21
"F",20,27,39,27,34,16
"F",21,35,47,31,42,7
"F",20,34,43,26,30,21
"F",18,32,54,27,38,17
"M",22,33,43,33,37,22
"F",22,33,44,28,35,18
"M",24,35,31,16,38,25
"F",19,32,50,29,30,24
"F",20,31,39,27,46,23
"F",20,28,52,17,27,23
"F",17,17,47,37,41,26
"M",19,19,32,20,45,12
"F",20,35,37,23,36,32
"F",20,24,45,22,31,22
"F",20,21,50,32,40,20
"F",20,29,50,19,34,21
"F",19,19,39,31,36,23
"F",19,20,49,27,34,20
"F",22,42,35,14,38,28
"M",35,41,46,24,33,31
"F",18,37,38,21,41,18
"F",19,36,41,21,36,30
"M",21,18,49,27,32,19
